Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,723000,12000,3,Hyderabad
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,602000,85000,4,Kolkata
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,571000,32147,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,621000,34900,5,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,566000,40834,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,606000,61000,5,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,561000,51000,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,541000,88152,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,579000,18000,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,531000,23656,6,Navi
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,573000,31510,5,Thane
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,516000,62475,6,Navi
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,643000,34000,4,Thane
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,521000,44740,6,Pune
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,510000,61346,6,Pune
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,527000,27497,6,Pune
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,576000,28000,5,Pune
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,758000,17000,2,Pune
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,680000,47915,5,Delhi
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,611000,38000,5,Kolkata
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,625000,85000,4,Kolkata
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,599000,34000,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,581000,44613,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,596000,33155,6,Mumbai
Maruti Suzuki,Baleno,Alpha[2019-2022],Manual,Petrol,702000,39522,3,Mumbai
